ability_id,en,icon
3240106148233216,BF-4F Warrior,pet.battledroid.combat.a01_bf09
1454434840215552,Accessing Galaxy Map...,starmap
2923897770999808,Mortar Volley,orbitalmultistrikes
3338602633232384,Gree Digitizer Cube,event_toy_gree_h2f
975902468997120,Unlocking...,starmap
3438971723972864,Dark Seed,shock
3755747036889088,Power Swipe,animaltalon
2853902688977160,Explosive Probe (Any),explosiveprobe
2853902688976896,Explosive Probe,explosiveprobe
3343185363337472,Shocked,shocked
3343185363337216,Telekinetic Throw,jediconsular
3706561071415296,Alacrity Boost,attackSlowed
3390893860061184,Porta Fresher,mtx.toy.porta.fresher
1690834135154688,Heals Baseline,smugglerrecuperate
2487546273595392,Frostbite,ring01
3757297520082944,Protective Barrier,electricshield
800453054955520,Health Check 75,heavyarmors
2979135345393664,Sparkle Powder,glitterstim
2519122873155584,Empowered,frenzy
2517271742251008,Activating Pylon Controls,sithholocron3
1971218190172416,Round 1,diplomacy
1971218190172424,Round 3,diplomacy
1971218190172425,Round 4,diplomacy
1971218190172426,Round 5,diplomacy
1971218190172427,Round 6,diplomacy
1971218190172429,Absorption Shield,discharge
1971218190172449,Enrage Timer,discharge
1971218190172451,Enraged,bloodthirst
1971218190172160,Round Controller,diplomacy
2532488811380992,Hard Mode,adrenelinerush
3250998185296129,Window Shop,antitoxinprobe
3250998185296140,Immobilized,immobilized
3250998185295872,Window Shopping,antitoxinprobe
2779372121489664,Bleeding,bloomingshot
2779372121489408,Obliterate,batteringAssault
2790487496851456,Smash,bravado
2786407277920520,Carbonizing,carbonize
2786407277920256,Carbonization,carbonize
2877207181524992,Ranged Attack,lightsaber_generic
3424394604969984,Blade Barricade,hailofbolts
2445786306576384,Force Spark,lightning_burst
3331399973076992,Fungal Shell,shatter
2876958073421824,Defensive Systems,telekineticblast
654823598850048,Remote Sniper Fire,snipe
2057998004387840,Snipe,snipe
3170725246533632,Securing Connection...,plainholocommunictor
3204784337190912,Ranged Attack,blaster_generic
2535448043847938,Immobilized,immobilized
2535448043847680,Force Leap,forceLeap
829392544595968,Smash,smash
3067560132083712,Dueling Banner,duelingringbasic
3248197866618880,Missile Strike,missilesalvo
632438229303296,Live Wire,stimpack
2920143969583104,Breath of the Masters,oilslick
3010256678420480,Black Obtuse,encrypteddatadisk
2857338662813954,Stunned,stunned
3022140852928512,Overcharged Jetpack,immolate
3564054056534016,Czerka Runabout,mtx_mount_czerka_runabout
3739885722664960,Minas Wasp,mtx_mount_minas_wasp
3706573956317184,Power Boost,hk51assassinate
3066645304049664,Melee Attack,lightsaber_generic
2906820981030912,Force Kick,quickkick
3503361873674516,Stunned (Physical),stunned
3503361873674240,Vengeful Slam,abl_sw_ju_vengeful_slash
2809286568706309,Shielded,bioelectricshieldenhancer
2809286568706048,Portable Reflective Shield,bioelectricshieldenhancer
2627489193000960,Take Portable Cover,takeportablecover
810967134896128,Repairing,toolgun
2194861432242176,Sundering Assault,sunderingAssault
811954977374482,Shocked,shocked
811954977374486,Slowed,movementslowed
811954977374208,Force Lightning,sithsorcerer
1210274539372544,Level 50 Range DPS (MED),treasurehunting
2878929463410688,Rifle Shot,rifleshot
3333281168752640,Camping,mtx_toy_camping
3334445104889856,Ikas Shark,ikas.03
3300617942466560,JA-3 Subversive Battle Droid,pet.battledroid.combat.a01_v09
812019401883648,Disengage,jetBoost
3036168216117248,Activating...,complexaccesscard
3209491621347588,Burning,burned
3209491621347328,Flamethrower,flameburst
3447638967975936,Inversion,meditation
2497695281316096,Explosive Probe (Tech),explosiveprobe
2497695281315840,Explosive Probe,explosiveprobe
3231778206646272,GSI EMP-03 Explorer,veh.neu.speeder.02
3342188930924802,Slowed,movementslowed
3342188930924544,Force Lightning,sithsorcerer
3573842287001600,Juvenile Bull Rancor,pet.rancor.a01_v08
2879341780271104,Lunge,lunge
2996435473661952,Exposed Wiring,ionclip
3502021843877888,Plateshadow Devourer,mtx.mount.devourer.plateshadow
3434771245957378,Emboldened,bloodthirst
801118774886707,Toxic Damage,gooeyblob
801118774886400,Toxic Liquid,gooeyblob
3123227203207168,Activating Droid Assembler,craftingdroidrepublic
2176285698686976,Ubrikkian Striker,mount.speederbike.modelb.03
3317991085179136,Crushed,crushed
3317991085179138,Stunned,stunned
3317991085178880,Force Choke,choke
3393762898214912,Mag Bolt,abl_tr_co_mag_bolt
3277266205278208,Ord Mantell Kingpin Authorization,securedatapad
3326400631144785,Improved Criticals,spvp_increasedsystemsdamagechance
3326400631144786,Overcharged Damage,spvp_primaryweapondamage
3326400631144787,Extended Range,spvp_primaryweaponrange
3326400631144448,Blaster Overcharge,spvp_primaryweaponrof
800607673778176,Blaster Torrent,fullAuto
3632717698695168,Soothe,darkGift
3443309640941568,Shock,taserjolt
3229085262151680,Anti-Tox Respirator,ipp.custom.social.quest.radiation_mask.head
2763158619947264,Welding Torch,flameburst
2763158619947008,Welding Torch,flameburst
3298865595810048,Armor Reduced (Tech),armorreduced
3298865595809792,Armor Melt,armormelt
2495994474266624,Ancient Knowledge,shadowcloak
2763184389751043,Targeted,pet.droid.mousedroid.karaggas
2763184389750784,Targeted,pet.droid.mousedroid.karaggas
3213009199562752,Major Reputation Boost,virtualitem_reputation_boost_major
2790393007571200,Stunned,stunned
3309538589540352,Throw Rock,pileofrubble
2919078817693696,Explosive Round,rifleGrenade
2176277108752384,Ubrikkian Raider,mount.speederbike.modelb.02
2115554861121536,Aimed Shot,snipe
809339342290944,Force Drain,poison
1962396327346176,Activating Self-Destruct...,accesscardcolorvariant2
3724707308240896,Power Surge,hk51assassinate
2524298308747264,Summon Dog,datapad
3334440809922560,Ikas Flamethrower,ikas.02
3279220415397888,F5-SC Fighter,pet.battledroid.combat.a01_v07
3760720609017856,Destroying,quickkick
2786394393018625,Sympathetic Circuitry,heartriggerpatch
2786394393018368,Sympathetic Circuitry,heartriggerpatch
3754102064414720,Roche Kretch,mount_roche_kretch
945498395508736,Sealing Pressure Valve...,mapondatapad
3231103896780800,Empowered Blade,chargedsaber
3148979827114327,Toxic Spine,tusk
3148979827113984,Spines,tusk
3494303787647256,Stunned,stunned
3494303787646976,Spear Throw,treek_klektuhkuh_thleek
3036215460757504,Activating...,complexaccesscard1
3724806092488704,Alacrity Boost,attackSlowed
3790708070678528,Apply Unlock (Account),bravado
3557491346505728,Force Leap,forceCharge
3131250202116096,Czerka LD-1 Celebrator,veh.pl.mt.lifeday
3573846581968896,Juvenile Tyrant Rancor,pet.rancor.a01_v09
3316410537213952,Activating,darksiderelic3
2070728287453441,Merciless,cannonball
2070728287453184,Merciless Slash,cannonball
2535009957183752,Knockdown (Physics),thrown
948212814839808,Datapad,datapad
2074327470047232,Benevolence,sharedbenevolence
1782299758690565,Rend,bloomingshot
3238594319745024,Stap SUV,hydraulicpiston
3167993647333376,Apply Unlock,bravado
2765851564441600,Lasershot,railshot
3191066211647488,Securing Connection...,plainholocommunictor
3450220243321100,Consume Life,telekineticblast
3450220243320832,Raw Force Energy,telekineticblast
3553329523195904,Adrenaline Fueled,adrenelinerush
3148919697572121,Mounting Caution,reanimation
3148919697572132,Overwhelmed,cc_defensive
3148919697572136,Green Patrol Team Engaged,droideye
3148919697571840,Cautious,droideye
3317720502239232,Ikas Firestarter,mtx_speeder_ikasfirestarter
800676393254912,Molten Shot,fireBomb
763095429414912,Uploading Virus...,datapad
3073916683681792,Electrostatic Discharge,emittermatrix1_str
2856647173079040,Enrage,bloodthirst
1790846743609344,BH DW Merc Level 50 Stacking Cunning.,treasurehunting
2176298583588864,Longspur Blaze,mount.speederbike.modela.03
2277586797330689,Shocked,shocked
2277586797330432,Essence Drain,sithsorcerer
2166166755737600,Rendili Watchman,mount.speederbike.modelc.02
3369380368875520,Rendili SF-3,mtx.rendili.sf3
1779727073280000,Focus,forceCharge
3765290454221084,Incapacitated (Mental),blinded
3765290454221090,Bastioned,block
3765290454220800,V-6 Seismic Grenade,pressuremine
3356693035483136,Riot Suppression,shockwave
3566128525737984,Adamant,force_crush
3308748315558147,Knockdown,thrown
3308748315557888,Personal Vehicle,hydraulicpiston
814866965200896,Recuperate,spyrecuperate
3286667888689152,Grapple,grapple
3334436514955264,Ikas Spear,ikas.01
3765256094482716,Incapacitated (Mental),blinded
3765256094482722,Bastioned,block
3765256094482432,V-6 Seismic Grenade,pressuremine
2853760955056128,Melee Attack,lightsaber_generic
3036219755724800,Activating...,complexaccesscard2
880189122806063,Taunt,taunt
880189122806064,Taunt,taunt
880189122806402,Sonic Rebounder,abl_bh_pt_sonic_rebounder
880189122805760,Sonic Missile,sonicmissle
3648188170895360,Focused Defense,deflection
3685691825324304,Crushed,crushed
3685691825324306,Stunned,stunned
3685691825324032,Legacy Force Choke,legacyforcechoke
2157349187878912,Thermal Bomb,remotedetonationmine
2468794446381319,Damage Vulnerability (Tech),damageincreased
2468794446381056,Infection,lifedrain
3278215393050624,Fektur Sleesh,treek_fektur_sleesh
3484421067898880,Harpoon,grapple
3255877268144399,Blighted,mucus
3255877268144128,Spit Blight,mucus
766840640897024,Injection,bluestimpack
2949830783533056,Interrogation Droid,pet.droid.probedroid.01
998979328278528,Benevolence,darkGift
2532484516413696,Hard Mode,adrenelinerush
808282780336128,Overload,overload
2973869715488768,Green Perpendicular,complexaccesscardcolorvariant4
2779019934171136,Sticky Pulse Grenade,stickyGrenade
3414103863328768,Blockout,cloudmind
1706287427485696,Portable Holo Dancer,virtualitem_holodancer
2777469450977539,Immobilized,immobilized
2777469450977542,Stunned (Physical),stunned
2777469450977280,Leap,forceCharge
948041016147968,Rifle Shot,rifleshot
3690476418891776,Kakkran Daggerstar,mount_kakkran_daggerstar
2308600756175104,Bleeding (Physical),bloomingshot
2308600756174848,Rake,animaltaloncolorvariant1
2439562898964480,Power Boost,hk51assassinate
811744523976966,Blinded,blinded
811744523976704,Flash Bang,flashbang
3746366828314624,Head Laser Burst,flurryofbolts
3435853577715975,Poisoned,poison
2518074901135360,Ranged Attack,blaster_generic
3344645652217856,Model M-7 Razorwire,minipet.razorwire
3004235134271488,Withering Terror,crushingdarkness
3340616972894208,Sleigh I,veh.pl.mt.speeder.life.day.presenter
3317716207271936,Ikas Falchion,mtx_speeder_ikasfalchion
3305905047207936,Saber Reflect,saberreflectguardian
3209238218276864,Taking Power Cell,powercore
3314864348987392,Bypass,spvp_shieldpiercing
3228737369800704,Enrage,bloodthirst
864164599824384,Warzone Medpac,heal
2069061840142592,Slowed (Force),movementSlowed
2069061840142594,Crushed (Force),crushed
2069061840142336,Force Crush,forceCrush
2922514791530754,Stunned,stunned
2922514791530496,Electro Dart,taserjolt
811031559405568,Opening...,key
2698003966066688,Enrage,bloodthirst
3473980002402304,Telegraphed Strike,smash
3447578838434092,Backlash,shockwave
3447578838433792,Resonance,shockwave
3647801623838720,Power Surge,hk51assassinate
3303641599442944,Spike of Pain,telekineticblast
2907082974035968,Flare Gun,virtualitem_flaregun
2693099113414656,Extending the Bridge,icon_holotransmitter_01
3564011106861056,Ubrikki BR-47,mtx_mount_ubrikki_br47
2047741622485248,Laser,railshot
2047741622484992,Targeted Laser,railshot
3251573710913536,Closed-Circuit Datawall,security
3232894898143232,More Hitpoints,stimpack
3479851222695936,Healing Resonance,koltoStream
800427285151744,Health Check 25,heavyarmors
2196476339945472,Melee Attack,force_crush
2291936283066368,Full Auto,fullAuto
1220926058266624,Level 30 Melee DPS,treasurehunting
2861706644553984,Unshakable,unleash
2861706644553728,Unshakable,unleash
3569259556896768,Threatening Focus,abl_jc_sh_martial_prowess
2075822118666498,Knocked Out,stunned
2510575888236808,Penalty of Destiny,snipe
2510575888236811,Penalty of Destiny,backflips
2510575888236544,Duel of the Fates,backflips
3230880558481707,Absorbtion Shield,absorbtionfield
3230880558481408,Under Arrest,shadowcloak
3481049518571520,Massacre,overpower
2507573706096899,Lifted (Force),levitated
808471758897152,Dark Efficacy,hatred
3759771421245440,Using,datapad
3402086544834560,Advanced Targeting,lockandload
3361460449181696,Meirm Iguana,toad.05
2472427988713472,Snipe,snipe
3210561068204032,Endless,debufftimer
2695096273207559,Slowed (Force),movementslowed
2695096273207564,Static Charge,electrocute
2695096273207568,Boss Immunity,unwaveringresolve
2695096273207571,Unshakable,unleash
2695096273207296,Terrifying Storm,forceStorm
3564084121305088,Desler DS-4,mtx_mount_desler_ds4
2317383964295168,Saber Strike,assault
3301953677295616,Thundering Blast,markofpower
2534739374243840,Custom-Built Speeder Bike,mount.speederbike.anteater.04
3236803318382592,Sand People Battlecry Emulation,hk51assassinate
3241995933843456,Cartel Luxury Skiff,veh.pl.mt.mtx.huttese.litter.imp
811353681952768,Loot Attack Set 1,explosiveprobe
3485799752400896,Saber Ward,lightsaberReflection
2919065932791808,Communicating,plainholocommunicator
3289425257693184,Inevitable Decay,corrosivemine
810211220652032,Buff Stumbling,tenacity
800448759988224,Health Check 70,heavyarmors
2750402567077888,Heatseeker Missiles,heatseekermissiles
2535465223716864,Guardian Leap,guardianleap
2779204617765131,Slowed (Physical),movementslowed
2992338074861826,Taunt Immunity,cc_aggressive
2992338074861568,Empowering Charge,shock
3142747829567488,Apply Unlock,bravado
2510438449283336,Penalty of Destiny,snipe
2510438449283339,Penalty of Destiny,backflips
2510438449283072,Duel of the Fates,backflips
2438222869168128,Shield Boost,forceArmor
3038779556233216,Enrage,bloodthirst
2777782983590150,Immobilized,immobilized
2777782983590153,Incendiary Missile,jetcharge
2777782983590155,Burning (Physical),explosiveprobe
2777782983589888,Jet Charge,jetcharge
2497669511512323,Shield Probe,absorbtionfield
2497669511512064,Shield Probe,absorbtionfield
3347321416843524,Force Gust,abl_jc_sa_telekinetic_gust
3347321416843264,Telekinetic Gust,abl_jc_sa_telekinetic_gust
3470806021570855,Immobilized,immobilized
3470806021570560,Jet Charge,jetcharge
2779389301358592,Battering Assault,batteringAssault
2535289130057728,Electric Discharge,chainlightning
3590154572791808,Healing Wave,consumption
808497528700928,Convection,lightningstrike
1975637711519744,Standard DPS,rifleshot
1784223904038912,Dummy Missile,stimpack
3051282206031872,Terror Shout,telekineticblast
968880197468160,Stealth,stealth
3033617005543680,Spiked Carapace,spined_carapace
2765830089605120,Ballistic Blast,highimpactround
2485458919489797,Immobilized,immobilized
2485458919489536,Force Charge,forceCharge
814789655789940,Immobilized (Physical),immobilized
814789655789952,Jarring Strike,criticalblade
814789655789968,Slowed (Physical),movementSlowed
814789655789568,Backstab,criticalblade
809914867908608,Plant Ion Charge,droidbatterypack
2955311161803009,Magnetized,movementslowed
2955311161802752,Magnetize,ionclip
2453972514242560,Advanced Kolto Pack,greatermedpac
1492260617191680,Carbonized,carbonized
1492260617191682,Carbonized,carbonized
1492260617191424,Carbonize,carbonize
3230124644237577,Bleeding (Physical),bloomingShot
3230124644237312,Overhead Claw Slash,vicioussaber
3765238914613532,Incapacitated (Mental),blinded
3765238914613538,Bastioned,block
3765238914613248,V-4 Seismic Grenade,diplomacy
3440908754223368,Slowed (Physical),movementSlowed
3440908754223382,Stunned,Stunned
3440908754223104,Twin Saber Throw,conaldualsaberthrowsentinal
3041047298965504,Rupture,rupture
3706565366382592,Alacrity Boost,attackSlowed
2777770098688260,Incendiary Missile,flamethrower
2777770098688262,Burning (Physical),explosiveprobe
2777770098688000,Immolate,flamethrower
2145701236572160,Become Mousedroid,mousedroid
3347604884684800,Full Auto,fullAuto
1519185767170304,Frozen (Tech),cryobanGrenade
1519185767170306,Slowed (Tech),movementslowed
1519185767170048,Cryo Grenade,cryobanGrenade
961093421760512,Full Auto,fullAuto
847646155603968,Reprogramming Auto Pilot...,secureaccesscardcolorvariant2
3058678139715584,Major Exploration Experience Boost,explorationxpbonus5
2627729711169536,More Hitpoints,stimpack
3134548736999424,Updraft,forcecrush
3252235135877120,Prototype Nano-Infused Resolve Stim,heavy_duty_resolve_stim
2508411224719360,Leaping Smash,backflips
2508750527135744,Groundfire,stimpack
2766096377577472,Energy Surge,shockwave
813449625993216,Ranged Attack,blaster_generic
3378232296472576,Rending Swipe,animaltaloncolorvariant1
2443582988353536,Power Boost,hk51assassinate
3160567648878592,Securing Connection...,plainholocommunictor
3350435268132864,Korrealis Duke SE,mtx.landspeeder.02.05
813630014619648,Ranged Attack,blaster_generic
2860662967501057,Immobilized,immobilized
2860662967500800,Jet Charge,jetcharge
2777658429538564,Incendiary Missile,flamethrower
2777658429538566,Burning (Physical),explosiveprobe
2777658429538304,Immolate,flamethrower
3724041588310300,Knockdown,thrown
3724041588310016,Force Leap,forceCharge
2454681183846659,Slowed (Tech),movementslowed
2454681183846667,Knockdown,thrown
2454681183846400,Concussive Wave,concussionmissiles
810692256989184,Weapon Proficiency: Electrostaff,electrostaves
2294672177234176,Unshakable,unleash
2294672177233920,Unshakable,unleash
2969905460674560,Priority Transport: Outlaw's Den,prioritytransport2
3188815648784384,Saber Screen,reflection
3234844813295616,Wind Buffet,force
3729667995467776,Healing Resonance,koltoStream
2445520018604032,Independent Thought,deflection
1707137831010304,Corellian Ale,ring01
3023777235468546,Howling,forcestream
3023777235468564,Enraged,berserk
3023777235468571,Enraged,berserk
3023777235468288,Howl,forcestream
3765230324678940,Incapacitated (Mental),blinded
3765230324678946,Bastioned,block
3765230324678656,V-3 Seismic Grenade,diplomacy
1261367470325760,Ravage,bladerush
3321010447188244,Stunned,stunned
3321010447187968,Throwing a Rock...,upheaval
3378193641766912,Suppressive Fire,barrage
3648183875928064,Focused Defense,deflection
815240627355648,Surgical Probe,advancedmedicalprobe
2508900850991104,More Hitpoints,stimpack
3254717626974208,Examining...,databluelettering
2535697151950848,Ranged Attack,blaster_generic
2528902513688576,Escape,stealth
2882412681887744,Wind Buffet,force
800422990184448,Health Check 20,heavyarmors
1713910994436096,No Armor,ambush
2516563072647168,Attacking...,desperatecommand
3675134795710748,Immobilized (Force),immobilized
3675134795710754,Bastioned,block
3675134795710464,V-0.2 Rakata Freeze Bomb,diplomacy
2502449810112769,Knockdown,thrown
2502449810112512,Terminate,assassinate
2821368311709696,Strike,sweep
3058725384355840,Major Warzone Experience Boost,boostedwarzone5
3312970268409856,Shield Defense,spiritarmor
3029339218116608,Disabling Shot,pacify
996187599536385,Shocked (Energy),shocked
2746683125399552,Carbonization,stimpack
1486050094481664,Defense Reduced,defensereduced
3395828777484288,Augment and Stim Buff,superiorgreenstimpack
1665072921313280,GM Ball Check,missilefan
1953273816809472,Cleave,cleave
3276755104170242,Bleeding (Physical),bloomingshot
3276755104169984,Retractable Blade,retractableblade
3405629892853760,Power Surge,hk51assassinate
2459714885517312,Focus Mind,soothe
2901048544985088,Aratech Coral,mount.speederbike.greatwhite.06
2991449016631296,Deploy Shields,energyshield
2859078124568576,Melee Attack,force_crush
2506457014599940,Knockdown,thrown
2506457014599680,Death from Above,deathFromAbove
3770036393082880,Dark Shield,shadowtechnique
937045899870208,Meditating...,introspection
1985486071529472,Weapon Proficiency: Training Saber,melee.trainingsaber.a01_v01
3348695806377984,Ranged Attack,blaster_generic
2623301599887360,Defender,xpbonus
3647853163446272,Power Surge,hk51assassinate
3482166210068480,Fire Turret,diplomacy
2996396818956545,Self-destruct,explosiveprobe
2996396818956288,Self-destruct,explosiveprobe
810623537512448,Dual Wield,duelwield
3765251799515420,Incapacitated (Mental),blinded
3765251799515426,Bastioned,block
3765251799515136,V-7 Seismic Grenade,pressuremine
2272110714028032,Call Target,backflips
3277691407040769,Gangster's Luck,smuggler'sluck
3277691407040512,Smuggler's Luck,smuggler'sluck
3648286955143168,Blaster Volley,desperatecommand
3431219308003328,Ranged Attack,blaster_generic
2786823889748228,Burning,burned
2786823889747968,Fire Bomb,remotedetonationmine
3234960777412608,Defense Boost,deflection
3391499450449920,Fire Pulse,abl_tr_vg_shrap_satchel
2879075492298752,Grapple,grapple
3288905566650668,Project TG-5,fungalsample1
3288905566650368,Chemical Attraction,fungalsample1
3129540805132288,Add Medical Probes,bravado
3244315216183296,Slime Throw,viral_residue
3647539630833664,Shield Defense,spiritarmor
3335467307106569,Stunned,immobilized
3310144179929088,Bioamplification,emergencyscan
3288226961817600,Aratech Techno,mtx_speeder_aratechtechno
3492190663737344,Shuttle Pass: Forged Alliances,shuttlepassvariant
2879303125565698,Interrogation Probe (Tech),sonicprobe
2879303125565440,Interrogation Probe,sonicprobe
2443561513517056,Power Boost,hk51assassinate
972475085094912,Retrieving Data...,copperdatadisk
3569650398920704,Pummel,jediKnight
810769566400512,Slicing,slicing
3506961056268567,Proximity Charge (Arming),becomevanished
3506961056268569,Demolished,abl_jk_se_force_melt
3506961056268288,Proximity Charge,becomevanished
1679516896329984,Stunned,stunned
2997260107382784,Emergency Protocols,hk51emergencyprotocols
2624607269945344,Sweep,backflips
3525154537734144,Sabertooth Skarkla,mtx.pet.skarkla.sabertooth
3232864833372160,Shredding Claws,crushingdarkness
783702682501120,Mild Radiation Sickness,lifedrain
3648359969587467,DFA Flight Control,deathFromAbove
3648359969587200,Death from Above,deathFromAbove
3165584170680320,Decoy,chaffflare
2439519949291520,Inspire Loyalty,adrenelinerush
3393724243509509,Bleeding,bloomingshot
3393724243509510,Ignored,sonicgrenade
2762883742040333,Burning,firebomb
3147180235816960,Bolster,bolster
3392568897306624,Rapid Repair Drones,mtx.toy.rapid_repair.drones
2075830708600832,Dash,forcespeed
2748620155650322,Pustulating,darkaffliction
2748620155650338,Knockdown,thrown
2748620155650357,Corrupted,wither
2289926238371840,Poison Spreader,plasmaprobe
1678090967187712,Slowed (Force),movementslowed
1678090967187456,Force Slow,movementslowed
809377996996608,Surveillance Device Detected,microchip
3765243209580828,Incapacitated (Mental),blinded
3765243209580834,Bastioned,block
3765243209580544,Wynz-Tek Experimental Shockwave Device,diplomacy
2882567300710400,Shield Boost,forceArmor
839610271793152,Missile Salvo,missilesalvo
3012717694681088,Volatile Emission,armormelt
1766176451461120,RH-1 Missile,tacticalnuke
1583442772885504,Corrupting Records...,securityspike
967342599176192,Electric Shield,electricshield
802961315856384,Madeat1053am,darkgift
2522610386600194,Asleep (Tech),blinded
2522610386600198,Thawed Out,carbonitegrenade
2522610386599936,Carbonized Stream,carbonize
3221345731084549,Shield Probe,absorbtionfield
3221345731084288,Shield Probe,absorbtionfield
3214186020601856,Charging Alpha Strike,orbitalmultistrikes
2924464706682880,42-Y Civilian Speeder Bike,hydraulicpiston
2519475060474119,Unshakable,unleash
2519475060473856,Hail Of Bolts,hailofBolts
3192590925037826,Overriding Security Lockdown,slicing
3192590925037568,Slicing,slicing
2533940510326784,Rapid Shots,rapidshots
3736454043795456,Open Box,republiccrate
3406424461803520,Underworld Medicine,underworldmedicine
3413378013856006,Knockdown,thrown
3413378013855744,Concussion Pulse,concussionMissiles
3050152629633024,Major Valor Boost,valorpointunlock
2878023225311489,Immobilized,immobilized
2878023225311232,Jet Charge,jetcharge
811263487639552,Giving Items,shuttlepass
2517112828461312,Unshakable,unleash
2517112828461056,Power Blast,scatterclip
1705252340367360,Malfunctioning Jetpack,ring01
3417591376773120,Power Surge,hk51assassinate
2810751152553984,Probe Scan,focusfire
808905550594048,Shock Drum Debuff Aura,stimpack
2534473086271488,Sundering Talons,tusk
3302383174025216,Mountain Tauntaun,tauntaun2
3441849352060928,Overhead Slash,backflips
3742136285528064,Activating,remotecontrol
2777697084244231,Incendiary Missile,flamingsweep
2777697084243968,Flame Sweep,flamingsweep
3302301569646592,Plasma Lance,agonizingsaber
3271287610802176,Firing Shoulder Cannon,smartcannonpowertech
2878989592952832,Sweeping Gunfire,sweepinggunfire
3462722893119808,Beat Down (Physical),cbt_st_beat_down
3462722893119488,Concentrated Slice,abl_jk_gu_focused_strike
3343748004052992,Maul,animalTalon
811735934042368,Burning (Tech),burned
811735934042112,Flame Burst,flameburst
3668030919802880,Bite,predatorteeth
3774275525804032,Jesse Buff,advanced_augment_str
2444106974363648,Defense Boost,deflection
3393784373051653,Immobilized (Tech),immobilized
3393784373051658,Slowed (Tech),movementSlowed
3393784373051392,Concussive Force,vanguard
811847603191808,Whirling Assault,whirlingAssault
3014517285978377,Expiatory Mote,mysticalupgrade1
3014517285978112,Expiatory Mote,thrown
3600264925806592,Telekinetic Refuge,sage_pass_telekinetic_refuge
3248777687203840,Blaster Whip,pistolwhip
2263284556235028,Poisoned (Any),lifedrain
2263284556234752,Affliction Field,lifedrain
800693573124096,Charge Target Chain,BlownFuse
1684804001071104,Searching...,armament3
3727894173974528,Summon Random Pet,random_pet
2785569759297536,Grav Wave,cryobanGrenade
2140783499018240,Duel of the Fates,backflips
3381401982337024,Juvenile Rancor,pet.rancor.a01_v01
3647591170441216,Shield Defense,spiritarmor
3675130500743452,Immobilized (Force),immobilized
3675130500743458,Bastioned,block
3675130500743168,V-0.1 Rakata Freeze Bomb,diplomacy
2485115322105856,Ballistic Immunity,backflips
1409522367201280,Toxicity Scan,vialofpoison
3569736298266881,Sundered (Physical),armorReduced
3569736298266624,Exhaustive Shot,scatterclip
3405642777755648,Shield Overcharge,absorbtionField
